net,length_um
lenM\[3\],10.62µm
rresp,10.54µm
rvalid,10.54µm
wready,10.54µm
DDATA\[15\]\[11\],10.46µm
DDATA\[8\]\[10\],10.44µm
awready,10.42µm
net262,10.4µm
net66,10.32µm
DDATA\[15\]\[8\],10.3µm
net54,10.28µm
net21,10.24µm
i\[1\],10.22µm
_0083_,10.185µm
_0096_,10.08µm
_0341_,10.08µm
net268,10.02µm
_0228_,9.94µm
current_state\[3\],9.9µm
net19,9.9µm
_0313_,9.86µm
_0200_,9.82µm
_0196_,9.78µm
net106,9.78µm
DDATA\[7\]\[6\],9.74µm
DDATA\[12\]\[5\],9.72µm
_0329_,9.7µm
_0384_,9.7µm
DDATA\[3\]\[6\],9.66µm
DDATA\[9\]\[8\],9.645µm
PRDATA[2],9.64µm
_0316_,9.64µm
wdata[10],9.64µm
wdata[9],9.64µm
DDATA\[15\]\[0\],9.62µm
_0241_,9.62µm
_0373_,9.56µm
DDATA\[6\]\[1\],9.53µm
DDATA\[14\]\[11\],9.52µm
_0314_,9.52µm
PRDATA[14],9.49µm
_0021_,9.48µm
_0350_,9.48µm
net39,9.46µm
DDATA\[13\]\[6\],9.36µm
DWREQ\[1\],9.36µm
_0256_,9.32µm
DDATA\[8\]\[4\],9.28µm
_0245_,9.27µm
net24,9.22µm
net270,8.98µm
rdata[6],8.96µm
rdata[8],8.96µm
DDATA\[1\]\[0\],8.9µm
net91,8.9µm
DDATA\[0\]\[14\],8.86µm
DDATA\[10\]\[8\],8.86µm
PWDATA[8],8.85µm
_0345_,8.82µm
araddr[3],8.81µm
awaddr[4],8.81µm
DDATA\[5\]\[0\],8.76µm
net47,8.74µm
PRDATA[0],8.72µm
PRDATA[10],8.72µm
PRDATA[11],8.72µm
PRDATA[9],8.72µm
wdata[11],8.72µm
wdata[12],8.72µm
wdata[14],8.72µm
wdata[2],8.72µm
wdata[3],8.72µm
wdata[7],8.72µm
wdata[8],8.72µm
DDATA\[1\]\[6\],8.56µm
net40,8.56µm
_0158_,8.52µm
net2,8.52µm
PWDATA[10],8.51µm
rdata[12],8.5µm
rdata[15],8.5µm
rdata[2],8.5µm
rdata[7],8.5µm
rdata[9],8.5µm
DDATA\[14\]\[2\],8.485µm
DDATA\[15\]\[6\],8.445µm
DDATA\[11\]\[10\],8.44µm
_0198_,8.42µm
_0358_,8.36µm
net46,8.28µm
PENABLE,8.25µm
_0084_,8.16µm
DDATA\[3\]\[2\],8.145µm
DDATA\[10\]\[4\],8.14µm
_0331_,8.14µm
DDATA\[5\]\[3\],8.1µm
DDATA\[5\]\[13\],8.08µm
DDATA\[12\]\[14\],8.06µm
_0248_,7.98µm
_0034_,7.94µm
_0372_,7.935µm
_0379_,7.925µm
DDATA\[2\]\[10\],7.9µm
net256,7.9µm
net52,7.88µm
PWDATA[7],7.83µm
_0077_,7.82µm
_0340_,7.78µm
net60,7.76µm
_0040_,7.74µm
DDATA\[3\]\[10\],7.7µm
_0230_,7.68µm
DDATA\[12\]\[12\],7.64µm
_0312_,7.64µm
current_state\[2\],7.6µm
net80,7.6µm
arvalid,7.59µm
DDATA\[0\]\[12\],7.52µm
_0042_,7.52µm
