net,length_um
wdata[15],8.72µm
wdata[2],8.72µm
wdata[3],8.72µm
wdata[6],8.72µm
wdata[7],8.72µm
wdata[8],8.72µm
_0332_,8.68µm
net47,8.68µm
DDATA\[5\]\[5\],8.64µm
DDATA\[2\]\[14\],8.62µm
_0043_,8.56µm
_0117_,8.56µm
_0170_,8.56µm
_0312_,8.56µm
_0340_,8.56µm
DDATA\[2\]\[7\],8.52µm
PWDATA[10],8.51µm
PWDATA[14],8.51µm
rdata[12],8.5µm
rdata[15],8.5µm
rdata[2],8.5µm
rdata[6],8.5µm
rdata[7],8.5µm
rdata[8],8.5µm
rdata[9],8.5µm
DDATA\[12\]\[12\],8.44µm
_0192_,8.44µm
DDATA\[5\]\[12\],8.4µm
DDATA\[8\]\[12\],8.4µm
net64,8.4µm
_0352_,8.36µm
_0297_,8.34µm
DDATA\[5\]\[0\],8.18µm
DDATA\[8\]\[2\],8.18µm
DDATA\[15\]\[12\],8.16µm
_0083_,8.16µm
DDATA\[0\]\[0\],8.06µm
DDATA\[6\]\[5\],8.06µm
_0210_,8.06µm
_0268_,8.06µm
_0276_,8.06µm
_0313_,8.06µm
_0075_,7.985µm
DDATA\[3\]\[13\],7.98µm
_0371_,7.98µm
_0078_,7.945µm
DDATA\[13\]\[6\],7.94µm
DDATA\[6\]\[12\],7.94µm
_0138_,7.94µm
_0269_,7.94µm
net105,7.94µm
_0385_,7.9µm
_0338_,7.84µm
PWDATA[11],7.83µm
PWDATA[7],7.83µm
DDATA\[4\]\[3\],7.8µm
net20,7.8µm
_0184_,7.78µm
_0309_,7.74µm
net14,7.74µm
DDATA\[7\]\[12\],7.72µm
_0096_,7.68µm
_0216_,7.66µm
_0097_,7.64µm
_0113_,7.64µm
DDATA\[10\]\[2\],7.6µm
_0250_,7.6µm
_0291_,7.6µm
net80,7.6µm
arvalid,7.59µm
DDATA\[9\]\[0\],7.58µm
_0190_,7.56µm
_0002_,7.54µm
_0143_,7.52µm
_0152_,7.52µm
DDATA\[14\]\[13\],7.48µm
_0140_,7.48µm
_0196_,7.48µm
_0368_,7.48µm
araddr[1],7.45µm
DDATA\[3\]\[8\],7.4µm
_0040_,7.4µm
DDATA\[9\]\[15\],7.34µm
_0308_,7.32µm
net30,7.32µm
DDATA\[15\]\[10\],7.28µm
_0220_,7.22µm
_0270_,7.18µm
PWDATA[9],7.15µm
